Middle layer Super Output Areas Code,Middle layer Super Output Areas,Age (101 categories) Code,Age (101 categories),Observation
E02000001,City of London 001,0,Aged under 1 year,44
E02000001,City of London 001,1,Aged 1 year,57
E02000001,City of London 001,2,Aged 2 years,34
E02000001,City of London 001,3,Aged 3 years,39
E02000001,City of London 001,4,Aged 4 years,40
E02000001,City of London 001,5,Aged 5 years,27
E02000001,City of London 001,6,Aged 6 years,28
E02000001,City of London 001,7,Aged 7 years,42
E02000001,City of London 001,8,Aged 8 years,30
E02000001,City of London 001,9,Aged 9 years,33
E02000001,City of London 001,10,Aged 10 years,50
E02000001,City of London 001,11,Aged 11 years,42
E02000001,City of London 001,12,Aged 12 years,34
E02000001,City of London 001,13,Aged 13 years,22
E02000001,City of London 001,14,Aged 14 years,26
E02000001,City of London 001,15,Aged 15 years,32
E02000001,City of London 001,16,Aged 16 years,36
E02000001,City of London 001,17,Aged 17 years,37
E02000001,City of London 001,18,Aged 18 years,60
E02000001,City of London 001,19,Aged 19 years,52
E02000001,City of London 001,20,Aged 20 years,113
E02000001,City of London 001,21,Aged 21 years,131
E02000001,City of London 001,22,Aged 22 years,193
E02000001,City of London 001,23,Aged 23 years,307
E02000001,City of London 001,24,Aged 24 years,221
E02000001,City of London 001,25,Aged 25 years,245
E02000001,City of London 001,26,Aged 26 years,262
E02000001,City of London 001,27,Aged 27 years,240
E02000001,City of London 001,28,Aged 28 years,227
E02000001,City of London 001,29,Aged 29 years,239
E02000001,City of London 001,30,Aged 30 years,243
E02000001,City of London 001,31,Aged 31 years,201
E02000001,City of London 001,32,Aged 32 years,211
E02000001,City of London 001,33,Aged 33 years,186
E02000001,City of London 001,34,Aged 34 years,159
E02000001,City of London 001,35,Aged 35 years,174
E02000001,City of London 001,36,Aged 36 years,152
E02000001,City of London 001,37,Aged 37 years,129
E02000001,City of London 001,38,Aged 38 years,134
E02000001,City of London 001,39,Aged 39 years,135
E02000001,City of London 001,40,Aged 40 years,113
E02000001,City of London 001,41,Aged 41 years,108
E02000001,City of London 001,42,Aged 42 years,103
E02000001,City of London 001,43,Aged 43 years,117
E02000001,City of London 001,44,Aged 44 years,106
E02000001,City of London 001,45,Aged 45 years,108
E02000001,City of London 001,46,Aged 46 years,96
E02000001,City of London 001,47,Aged 47 years,107
E02000001,City of London 001,48,Aged 48 years,100
E02000001,City of London 001,49,Aged 49 years,133
E02000001,City of London 001,50,Aged 50 years,123
E02000001,City of London 001,51,Aged 51 years,138
E02000001,City of London 001,52,Aged 52 years,142
E02000001,City of London 001,53,Aged 53 years,141
E02000001,City of London 001,54,Aged 54 years,96
E02000001,City of London 001,55,Aged 55 years,113
E02000001,City of London 001,56,Aged 56 years,98
E02000001,City of London 001,57,Aged 57 years,111
E02000001,City of London 001,58,Aged 58 years,98
E02000001,City of London 001,59,Aged 59 years,98
E02000001,City of London 001,60,Aged 60 years,103
E02000001,City of London 001,61,Aged 61 years,95
E02000001,City of London 001,62,Aged 62 years,84
E02000001,City of London 001,63,Aged 63 years,100
E02000001,City of London 001,64,Aged 64 years,77
E02000001,City of London 001,65,Aged 65 years,87
E02000001,City of London 001,66,Aged 66 years,80
E02000001,City of London 001,67,Aged 67 years,67
E02000001,City of London 001,68,Aged 68 years,75
E02000001,City of London 001,69,Aged 69 years,82
E02000001,City of London 001,70,Aged 70 years,58
E02000001,City of London 001,71,Aged 71 years,62
E02000001,City of London 001,72,Aged 72 years,61
E02000001,City of London 001,73,Aged 73 years,76
E02000001,City of London 001,74,Aged 74 years,63
