Middle layer Super Output Areas Code,Middle layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E02000001,City of London 001,-8,Does not apply,0
E02000001,City of London 001,1,"Asian, Asian British or Asian Welsh: Bangladeshi",287
E02000001,City of London 001,2,"Asian, Asian British or Asian Welsh: Chinese",545
E02000001,City of London 001,3,"Asian, Asian British or Asian Welsh: Indian",321
E02000001,City of London 001,4,"Asian, Asian British or Asian Welsh: Pakistani",33
E02000001,City of London 001,5,"Asian, Asian British or Asian Welsh: Other Asian",259
E02000001,City of London 001,6,"Black, Black British, Black Welsh, Caribbean or African: African",153
E02000001,City of London 001,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",54
E02000001,City of London 001,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",25
E02000001,City of London 001,9,Mixed or Multiple ethnic groups: White and Asian,179
E02000001,City of London 001,10,Mixed or Multiple ethnic groups: White and Black African,49
E02000001,City of London 001,11,Mixed or Multiple ethnic groups: White and Black Caribbean,53
E02000001,City of London 001,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,189
E02000001,City of London 001,13,"White: English, Welsh, Scottish, Northern Irish or British",3649
E02000001,City of London 001,14,White: Irish,185
E02000001,City of London 001,15,White: Gypsy or Irish Traveller,0
E02000001,City of London 001,16,White: Roma,59
E02000001,City of London 001,17,White: Other White,2062
E02000001,City of London 001,18,Other ethnic group: Arab,114
E02000001,City of London 001,19,Other ethnic group: Any other ethnic group,368
E02000002,Barking and Dagenham 001,-8,Does not apply,0
E02000002,Barking and Dagenham 001,1,"Asian, Asian British or Asian Welsh: Bangladeshi",623
E02000002,Barking and Dagenham 001,2,"Asian, Asian British or Asian Welsh: Chinese",29
E02000002,Barking and Dagenham 001,3,"Asian, Asian British or Asian Welsh: Indian",446
E02000002,Barking and Dagenham 001,4,"Asian, Asian British or Asian Welsh: Pakistani",541
E02000002,Barking and Dagenham 001,5,"Asian, Asian British or Asian Welsh: Other Asian",204
E02000002,Barking and Dagenham 001,6,"Black, Black British, Black Welsh, Caribbean or African: African",1196
E02000002,Barking and Dagenham 001,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",322
E02000002,Barking and Dagenham 001,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",219
E02000002,Barking and Dagenham 001,9,Mixed or Multiple ethnic groups: White and Asian,46
E02000002,Barking and Dagenham 001,10,Mixed or Multiple ethnic groups: White and Black African,113
E02000002,Barking and Dagenham 001,11,Mixed or Multiple ethnic groups: White and Black Caribbean,144
