MSOA21CD,MSOA21NM,IMD_Decile_Mean,LSOA_Count
E02000001,City of London 001,7.833333333333333,6
E02000002,Barking and Dagenham 001,3.0,4
E02000003,Barking and Dagenham 002,3.8333333333333335,6
E02000004,Barking and Dagenham 003,4.75,4
E02000005,Barking and Dagenham 004,3.5,6
E02000007,Barking and Dagenham 006,2.6,5
E02000008,Barking and Dagenham 007,3.0,7
E02000009,Barking and Dagenham 008,2.7142857142857144,7
E02000010,Barking and Dagenham 009,3.2,5
E02000011,Barking and Dagenham 010,3.5,4
E02000012,Barking and Dagenham 011,4.6,5
E02000013,Barking and Dagenham 012,3.2,5
E02000014,Barking and Dagenham 013,2.6666666666666665,6
E02000015,Barking and Dagenham 014,2.5,4
E02000016,Barking and Dagenham 015,2.0,5
E02000017,Barking and Dagenham 016,3.0,5
E02000018,Barking and Dagenham 017,2.6,5
E02000019,Barking and Dagenham 018,2.8,5
E02000020,Barking and Dagenham 019,3.375,8
E02000021,Barking and Dagenham 020,3.0,5
E02000022,Barking and Dagenham 021,2.5,4
E02000023,Barking and Dagenham 022,2.5,4
E02000024,Barnet 001,8.0,6
E02000025,Barnet 002,5.6,5
E02000026,Barnet 003,7.25,4
E02000027,Barnet 004,5.0,6
E02000028,Barnet 005,6.0,4
E02000029,Barnet 006,5.4,5
E02000030,Barnet 007,7.333333333333333,6
E02000031,Barnet 008,7.8,5
E02000032,Barnet 009,8.8,5
E02000033,Barnet 010,5.6,5
E02000034,Barnet 011,6.4,5
E02000035,Barnet 012,7.0,5
E02000036,Barnet 013,4.333333333333333,6
E02000037,Barnet 014,6.166666666666667,6
E02000038,Barnet 015,5.5,6
E02000039,Barnet 016,6.75,4
E02000040,Barnet 017,6.6,5
E02000041,Barnet 018,3.6,5
E02000042,Barnet 019,5.5,6
E02000043,Barnet 020,9.2,5
E02000044,Barnet 021,3.8,5
E02000045,Barnet 022,4.333333333333333,6
E02000046,Barnet 023,5.5,4
E02000047,Barnet 024,2.857142857142857,7
E02000048,Barnet 025,6.2,5
E02000049,Barnet 026,2.6,5
E02000050,Barnet 027,5.333333333333333,6
E02000051,Barnet 028,6.4,5
E02000052,Barnet 029,6.333333333333333,6
E02000054,Barnet 031,4.75,4
E02000055,Barnet 032,4.333333333333333,6
E02000056,Barnet 033,7.833333333333333,6
E02000057,Barnet 034,4.25,4
E02000058,Barnet 035,6.0,6
E02000059,Barnet 036,3.5,6
E02000060,Barnet 037,3.5,6
E02000061,Barnet 038,6.2,5
E02000062,Barnet 039,2.25,4
E02000063,Barnet 040,3.0,4
E02000064,Barnet 041,4.5,4
E02000065,Bexley 001,4.25,4
E02000066,Bexley 002,3.5,6
E02000067,Bexley 003,3.8,5
E02000068,Bexley 004,2.75,4
E02000069,Bexley 005,5.75,4
E02000070,Bexley 006,7.4,5
E02000071,Bexley 007,5.8,5
E02000072,Bexley 008,3.25,8
E02000073,Bexley 009,9.142857142857142,7
E02000074,Bexley 010,3.2,5
E02000075,Bexley 011,9.0,5
E02000077,Bexley 013,7.6,5
E02000078,Bexley 014,8.2,5
E02000079,Bexley 015,7.0,5
E02000080,Bexley 016,7.833333333333333,6
E02000081,Bexley 017,6.6,5
E02000082,Bexley 018,9.0,6
E02000083,Bexley 019,5.285714285714286,7
E02000084,Bexley 020,9.142857142857142,7
E02000085,Bexley 021,8.0,5
E02000086,Bexley 022,9.2,5
E02000087,Bexley 023,9.2,5
E02000088,Bexley 024,9.0,5
E02000089,Bexley 025,9.2,5
E02000090,Bexley 026,7.6,5
E02000091,Bexley 027,7.666666666666667,6
E02000092,Bexley 028,3.75,4
E02000093,Brent 001,4.666666666666667,6
E02000094,Brent 002,4.0,6
E02000095,Brent 003,4.8,5
E02000096,Brent 004,7.0,5
E02000097,Brent 005,4.2,5
E02000098,Brent 006,4.6,5
E02000099,Brent 007,4.4,5
E02000100,Brent 008,7.2,5
E02000101,Brent 009,3.1666666666666665,6
E02000102,Brent 010,1.2,5
E02000103,Brent 011,2.0,5
E02000104,Brent 012,3.75,4
E02000105,Brent 013,3.6,5
E02000106,Brent 014,1.3333333333333333,6
E02000107,Brent 015,3.0,6
E02000108,Brent 016,4.0,4
E02000110,Brent 018,4.0,5
E02000111,Brent 019,3.4,5
E02000112,Brent 020,3.3333333333333335,6
E02000113,Brent 021,1.1666666666666667,6
E02000114,Brent 022,3.2,5
E02000115,Brent 023,3.8,5
E02000116,Brent 024,1.5,4
E02000117,Brent 025,1.1666666666666667,6
E02000118,Brent 026,3.4,5
E02000119,Brent 027,2.0,6
E02000120,Brent 028,3.6,5
E02000121,Brent 029,3.2,5
E02000122,Brent 030,5.6,5
E02000123,Brent 031,1.4285714285714286,7
E02000124,Brent 032,4.6,5
E02000125,Brent 033,4.833333333333333,6
E02000126,Brent 034,2.75,4
E02000127,Bromley 001,3.6666666666666665,6
E02000128,Bromley 002,7.6,5
E02000130,Bromley 004,5.8,5
E02000131,Bromley 005,5.166666666666667,6
E02000132,Bromley 006,7.0,5
E02000133,Bromley 007,9.666666666666666,6
E02000134,Bromley 008,5.714285714285714,7
E02000135,Bromley 009,2.3333333333333335,6
E02000136,Bromley 010,6.5,4
E02000137,Bromley 011,8.8,5
E02000138,Bromley 012,9.6,5
E02000139,Bromley 013,7.4,5
E02000140,Bromley 014,3.2,5
E02000141,Bromley 015,6.2,5
E02000142,Bromley 016,9.2,5
E02000144,Bromley 018,8.0,6
E02000145,Bromley 019,3.0,5
E02000146,Bromley 020,7.6,5
E02000147,Bromley 021,9.8,5
E02000148,Bromley 022,9.25,4
E02000149,Bromley 023,5.2,5
E02000150,Bromley 024,8.2,5
E02000151,Bromley 025,10.0,5
E02000152,Bromley 026,5.75,4
E02000153,Bromley 027,9.4,5
E02000154,Bromley 028,8.0,5
E02000155,Bromley 029,7.0,5
E02000156,Bromley 030,9.25,8
E02000157,Bromley 031,10.0,5
E02000158,Bromley 032,6.6,5
E02000159,Bromley 033,9.5,4
E02000160,Bromley 034,9.2,5
E02000161,Bromley 035,9.6,5
E02000162,Bromley 036,7.5,4
E02000163,Bromley 037,9.0,5
E02000165,Bromley 039,8.0,5
E02000166,Camden 001,4.6,5
E02000167,Camden 002,8.4,5
E02000168,Camden 003,5.4,5
E02000169,Camden 004,8.8,5
E02000170,Camden 005,6.2,5
E02000171,Camden 006,6.0,5
E02000172,Camden 007,2.5,6
E02000173,Camden 008,7.8,5
E02000174,Camden 009,3.8,5
E02000175,Camden 010,5.8,5
E02000176,Camden 011,8.25,4
E02000177,Camden 012,3.4,5
E02000178,Camden 013,2.6,5
E02000179,Camden 014,5.0,4
E02000180,Camden 015,3.5,4
E02000181,Camden 016,7.4,5
E02000182,Camden 017,6.25,4
E02000183,Camden 018,5.6,5
E02000184,Camden 019,3.0,5
E02000185,Camden 020,2.2,5
E02000186,Camden 021,3.25,4
E02000187,Camden 022,2.3333333333333335,6
E02000188,Camden 023,3.0,4
E02000191,Camden 026,5.333333333333333,3
E02000192,Camden 027,3.25,4
E02000193,Camden 028,4.25,4
