"","Par. Est.","Std Error","t Value","Pr > |t|"
"Intercept",-4.08606779163119,0.451743328769375,-9.04510931630651,0
"IMD",-0.074606778184242,0.021682014187047,-3.44095237373346,0.000603906682111743
"Asian",0.0155323765120737,0.00197910662681938,7.84817568775248,1.08801856413265e-14
"Black",-0.00212909612177023,0.00445241247485985,-0.478189326301635,0.632621139686093
"Other",0.0426673428372462,0.00823643976699316,5.18031383028283,2.68402052139294e-07
"retailers___other",0.0101274841851439,0.00279489276856904,3.62356806638028,0.000305353962285704
"takeaway_sandwich_shop",0.00789559783173646,0.00323006604691166,2.44440754989689,0.0146827505170766
"pub_bar_nightclub",0.00601107316296292,0.00575862989118962,1.0438373843333,0.296815704401007
"supermarkets_hypermarkets",-0.0267225894576017,0.00626234082608315,-4.2671886120123,2.1697226544326e-05
"hotel_bed_and_breakfast_guest_house",-0.0226018779442891,0.0101446250253586,-2.22796583292048,0.0261070498765186
"other_catering_premises",-0.0114501999654653,0.0050908413725609,-2.24917633992303,0.0247206277684993
"log_pop_density",0.0898565913488424,0.0464763580521869,1.93338280180958,0.0534741910757097
"alpha",0.241164182631036,0.0300446034574371,8.02687187975982,2.66453525910038e-15
