Variable,Coef,Std_Err,t,p_value,Sig
Intercept,-7.7898,2.7935,-2.7886,0.0054,**
IMD,0.0549,0.0294,1.8689,0.0619,
Asian,0.1482,0.014,10.6021,0.0,***
Black,0.0053,0.0292,0.1827,0.8551,
Other,0.2124,0.0599,3.5485,0.0004,***
retailers___other,0.0607,0.0176,3.455,0.0006,***
takeaway_sandwich_shop,0.0276,0.0208,1.3256,0.1853,
pub_bar_nightclub,0.0244,0.03,0.8135,0.4161,
supermarkets_hypermarkets,-0.1549,0.0346,-4.4742,0.0,***
hotel_bed_and_breakfast_guest_house,-0.1107,0.0612,-1.8077,0.071,
other_catering_premises,-0.0445,0.0291,-1.53,0.1263,
log_pop_density,0.8057,0.2982,2.7014,0.007,**
