,IMD,Asian,Black,Other,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,other_catering_premises,Population_density
IMD,1.0,-0.23,-0.654,-0.45,-0.287,-0.203,0.311,-0.019,0.007,-0.102,-0.431
Asian,-0.23,1.0,-0.184,0.122,0.182,0.12,-0.19,0.053,0.047,0.053,0.107
Black,-0.654,-0.184,1.0,0.189,0.222,0.251,-0.214,0.051,-0.087,0.125,0.255
Other,-0.45,0.122,0.189,1.0,0.022,-0.078,-0.171,0.076,0.114,0.151,0.229
retailers___other,-0.287,0.182,0.222,0.022,1.0,0.032,-0.267,-0.214,-0.185,-0.13,0.033
takeaway_sandwich_shop,-0.203,0.12,0.251,-0.078,0.032,1.0,-0.229,0.041,-0.156,-0.15,-0.045
pub_bar_nightclub,0.311,-0.19,-0.214,-0.171,-0.267,-0.229,1.0,-0.115,-0.024,-0.056,-0.218
supermarkets_hypermarkets,-0.019,0.053,0.051,0.076,-0.214,0.041,-0.115,1.0,-0.07,-0.058,-0.045
hotel_bed_and_breakfast_guest_house,0.007,0.047,-0.087,0.114,-0.185,-0.156,-0.024,-0.07,1.0,0.02,0.072
other_catering_premises,-0.102,0.053,0.125,0.151,-0.13,-0.15,-0.056,-0.058,0.02,1.0,0.064
Population_density,-0.431,0.107,0.255,0.229,0.033,-0.045,-0.218,-0.045,0.072,0.064,1.0
