Variable,Coef,Std_Err,z,p_value,Sig,CI_lower,CI_upper,IRR
Intercept,-4.0861,0.5243,-7.7932,0.0,***,-5.1137,-3.0584,0.0168
IMD,-0.0746,0.0217,-3.4405,0.0006,***,-0.1171,-0.0321,0.9281
Asian,0.0155,0.002,7.846,0.0,***,0.0117,0.0194,1.0157
Black,-0.0021,0.0045,-0.4782,0.6325,,-0.0109,0.0066,0.9979
Other,0.0427,0.0082,5.1803,0.0,***,0.0265,0.0588,1.0436
retailers___other,0.0101,0.0028,3.6231,0.0003,***,0.0046,0.0156,1.0102
takeaway_sandwich_shop,0.0079,0.0032,2.4444,0.0145,*,0.0016,0.0142,1.0079
pub_bar_nightclub,0.006,0.0058,1.0435,0.2967,,-0.0053,0.0173,1.006
supermarkets_hypermarkets,-0.0267,0.0063,-4.2666,0.0,***,-0.039,-0.0144,0.9736
hotel_bed_and_breakfast_guest_house,-0.0226,0.0101,-2.228,0.0259,*,-0.0425,-0.0027,0.9777
other_catering_premises,-0.0115,0.0051,-2.2478,0.0246,*,-0.0214,-0.0015,0.9886
log_pop_density,0.0899,0.0465,1.933,0.0532,,-0.0013,0.181,1.094
alpha,0.2412,0.0302,7.9972,0.0,***,0.1821,0.3003,1.2727
