,IMD,0-4,4_15,15-19,20-24,25-44,45-64,65plus,Asian,Black,Mixed_or_Multiple,White,Other,restaurant_cafe_canteen,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,other_catering_premises,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,Population_density
IMD,1.0,0.33,0.307,0.414,0.318,0.16,-0.321,-0.591,0.208,0.65,0.139,-0.651,0.467,-0.287,0.286,0.188,-0.304,0.112,0.023,-0.024,0.409
0-4,0.33,1.0,0.645,0.163,-0.346,-0.063,-0.203,-0.274,0.198,0.206,-0.151,-0.259,-0.071,-0.329,0.357,0.21,-0.166,-0.056,0.018,-0.127,-0.071
4_15,0.307,0.645,1.0,0.481,-0.44,-0.59,0.239,0.066,0.206,0.208,-0.323,-0.264,-0.006,-0.466,0.436,0.234,-0.088,-0.003,0.026,-0.189,-0.292
15-19,0.414,0.163,0.481,1.0,0.245,-0.435,-0.011,-0.094,0.287,0.263,-0.194,-0.417,0.185,-0.303,0.249,0.175,-0.135,0.056,0.023,-0.022,-0.069
20-24,0.318,-0.346,-0.44,0.245,1.0,0.437,-0.592,-0.513,0.159,0.153,0.128,-0.284,0.229,0.157,-0.153,-0.045,-0.125,0.079,-0.021,0.18,0.49
25-44,0.16,-0.063,-0.59,-0.435,0.437,1.0,-0.76,-0.745,0.007,0.146,0.385,-0.133,0.045,0.232,-0.158,-0.119,-0.108,0.068,-0.039,0.106,0.597
45-64,-0.321,-0.203,0.239,-0.011,-0.592,-0.76,1.0,0.702,-0.292,-0.106,-0.032,0.331,-0.057,-0.07,0.025,0.033,0.162,-0.089,0.013,-0.078,-0.498
65plus,-0.591,-0.274,0.066,-0.094,-0.513,-0.745,0.702,1.0,-0.152,-0.497,-0.355,0.481,-0.188,0.065,-0.124,-0.065,0.259,-0.087,0.035,-0.052,-0.623
Asian,0.208,0.198,0.206,0.287,0.159,0.007,-0.292,-0.152,1.0,-0.184,-0.558,-0.753,0.122,-0.205,0.182,0.12,-0.19,0.053,0.053,0.047,0.107
Black,0.65,0.206,0.208,0.263,0.153,0.146,-0.106,-0.497,-0.184,1.0,0.461,-0.472,0.189,-0.323,0.222,0.251,-0.214,0.125,0.051,-0.087,0.255
Mixed_or_Multiple,0.139,-0.151,-0.323,-0.194,0.128,0.385,-0.032,-0.355,-0.558,0.461,1.0,0.122,0.102,0.114,-0.112,-0.063,0.011,0.051,-0.034,0.047,0.281
White,-0.651,-0.259,-0.264,-0.417,-0.284,-0.133,0.331,0.481,-0.753,-0.472,0.122,1.0,-0.426,0.349,-0.277,-0.223,0.32,-0.152,-0.087,-0.021,-0.31
Other,0.467,-0.071,-0.006,0.185,0.229,0.045,-0.057,-0.188,0.122,0.189,0.102,-0.426,1.0,-0.007,0.022,-0.078,-0.171,0.151,0.076,0.114,0.229
restaurant_cafe_canteen,-0.287,-0.329,-0.466,-0.303,0.157,0.232,-0.07,0.065,-0.205,-0.323,0.114,0.349,-0.007,1.0,-0.577,-0.52,-0.018,-0.205,-0.136,0.082,0.08
retailers___other,0.286,0.357,0.436,0.249,-0.153,-0.158,0.025,-0.124,0.182,0.222,-0.112,-0.277,0.022,-0.577,1.0,0.032,-0.267,-0.13,-0.214,-0.185,0.033
takeaway_sandwich_shop,0.188,0.21,0.234,0.175,-0.045,-0.119,0.033,-0.065,0.12,0.251,-0.063,-0.223,-0.078,-0.52,0.032,1.0,-0.229,-0.15,0.041,-0.156,-0.045
pub_bar_nightclub,-0.304,-0.166,-0.088,-0.135,-0.125,-0.108,0.162,0.259,-0.19,-0.214,0.011,0.32,-0.171,-0.018,-0.267,-0.229,1.0,-0.056,-0.115,-0.024,-0.218
other_catering_premises,0.112,-0.056,-0.003,0.056,0.079,0.068,-0.089,-0.087,0.053,0.125,0.051,-0.152,0.151,-0.205,-0.13,-0.15,-0.056,1.0,-0.058,0.02,0.064
supermarkets_hypermarkets,0.023,0.018,0.026,0.023,-0.021,-0.039,0.013,0.035,0.053,0.051,-0.034,-0.087,0.076,-0.136,-0.214,0.041,-0.115,-0.058,1.0,-0.07,-0.045
hotel_bed_and_breakfast_guest_house,-0.024,-0.127,-0.189,-0.022,0.18,0.106,-0.078,-0.052,0.047,-0.087,0.047,-0.021,0.114,0.082,-0.185,-0.156,-0.024,0.02,-0.07,1.0,0.072
Population_density,0.409,-0.071,-0.292,-0.069,0.49,0.597,-0.498,-0.623,0.107,0.255,0.281,-0.31,0.229,0.08,0.033,-0.045,-0.218,0.064,-0.045,0.072,1.0
