Variable,Coef,Std_Err,z,p_value,Sig,CI_lower,CI_upper,IRR
Intercept,-4.9471,0.4383,-11.287,0.0,***,-5.8062,-4.0881,0.0071
IMD,0.011,0.0035,3.1427,0.0017,**,0.0041,0.0179,1.0111
Asian,0.0164,0.0016,10.0593,0.0,***,0.0132,0.0196,1.0165
Other,0.045,0.0083,5.4176,0.0,***,0.0287,0.0613,1.046
retailers___other,0.0106,0.0027,3.8828,0.0001,***,0.0053,0.016,1.0107
takeaway_sandwich_shop,0.0083,0.0031,2.6592,0.0078,**,0.0022,0.0144,1.0083
pub_bar_nightclub,0.0063,0.0057,1.1,0.2713,,-0.0049,0.0176,1.0063
supermarkets_hypermarkets,-0.0271,0.0062,-4.3351,0.0,***,-0.0393,-0.0148,0.9733
hotel_bed_and_breakfast_guest_house,-0.0214,0.0102,-2.1046,0.0353,*,-0.0414,-0.0015,0.9788
other_catering_premises,-0.0114,0.005,-2.2615,0.0237,*,-0.0212,-0.0015,0.9887
log_pop_density,0.1085,0.046,2.3617,0.0182,*,0.0185,0.1986,1.1146
alpha,0.2463,0.0304,8.096,0.0,***,0.1867,0.3059,1.2793
