Step,Variable,VIF
1,15-19,21.4733
1,0-4,21.335
1,20-24,13.7174
1,IMD,11.6681
1,retailers___other,9.2109
1,Population_density,7.1385
1,Other,5.4511
1,takeaway_sandwich_shop,4.3527
1,Asian,3.1048
1,pub_bar_nightclub,2.2487
1,supermarkets_hypermarkets,1.8997
1,other_catering_premises,1.7979
1,hotel_bed_and_breakfast_guest_house,1.3025
2,0-4,20.0125
2,IMD,11.1447
2,20-24,10.5777
2,retailers___other,8.4711
2,Population_density,6.2638
2,Other,5.4122
2,takeaway_sandwich_shop,4.2262
2,Asian,3.0465
2,pub_bar_nightclub,2.1959
2,supermarkets_hypermarkets,1.8806
2,other_catering_premises,1.7769
2,hotel_bed_and_breakfast_guest_house,1.3015
3,20-24,10.5775
3,IMD,10.5333
3,Population_density,6.2306
3,Other,5.4102
3,retailers___other,5.4076
3,takeaway_sandwich_shop,3.5475
3,Asian,3.0043
3,pub_bar_nightclub,1.7836
3,other_catering_premises,1.7125
3,supermarkets_hypermarkets,1.709
3,hotel_bed_and_breakfast_guest_house,1.2725
4,IMD,10.3043
4,retailers___other,5.3831
4,Other,5.3109
4,Population_density,4.7133
4,takeaway_sandwich_shop,3.4301
4,Asian,2.941
4,other_catering_premises,1.6905
4,supermarkets_hypermarkets,1.6879
4,pub_bar_nightclub,1.6241
4,hotel_bed_and_breakfast_guest_house,1.2169
