Variable,Coef,Std_Err,z,p_value,Sig,CI_lower,CI_upper,IRR
Intercept,-4.3808,0.6423,-6.8199,0.0,***,-5.6398,-3.1218,0.0125
IMD,-0.0699,0.0233,-2.9966,0.0027,**,-0.1156,-0.0242,0.9325
age_0_4,0.0338,0.0238,1.4181,0.1562,,-0.0129,0.0804,1.0343
age_65plus,0.0008,0.0104,0.078,0.9378,,-0.0197,0.0213,1.0008
Asian,0.0153,0.002,7.6913,0.0,***,0.0114,0.0192,1.0154
Black,-0.002,0.0046,-0.4316,0.666,,-0.0109,0.007,0.998
Other,0.0448,0.0086,5.1876,0.0,***,0.0279,0.0618,1.0458
retailers___other,0.0088,0.003,2.9432,0.0032,**,0.0029,0.0147,1.0089
takeaway_sandwich_shop,0.0072,0.0033,2.1872,0.0287,*,0.0008,0.0137,1.0073
pub_bar_nightclub,0.0064,0.0058,1.1105,0.2668,,-0.0049,0.0177,1.0064
supermarkets_hypermarkets,-0.0279,0.0063,-4.3963,0.0,***,-0.0403,-0.0155,0.9725
hotel_bed_and_breakfast_guest_house,-0.0211,0.0102,-2.0774,0.0378,*,-0.041,-0.0012,0.9791
other_catering_premises,-0.0118,0.0051,-2.3105,0.0209,*,-0.0217,-0.0018,0.9883
log_pop_density,0.1011,0.0541,1.8703,0.0614,,-0.0048,0.2071,1.1064
alpha,0.2397,0.03,7.9819,0.0,***,0.1808,0.2985,1.2708
