BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue
1,1689802,Restaurant/Cafe/Canteen,10.0,51.572008,80961,501,Barking and Dagenham,0.1411341,4
1,1655770,Restaurant/Cafe/Canteen,10.0,51.57219696,80603,501,Barking and Dagenham,0.143009007,2
1,1714830,Restaurant/Cafe/Canteen,5.0,51.554493,81398,501,Barking and Dagenham,0.142421,5
1,1581394,Restaurant/Cafe/Canteen,5.0,51.5318386,79411,501,Barking and Dagenham,0.1469348,4
4613,115956,Retailers - other,5.0,51.558435,45140,501,Barking and Dagenham,0.129392,5
1,1294578,Restaurant/Cafe/Canteen,10.0,51.5721207,76698,501,Barking and Dagenham,0.1423516,4
4613,1760280,Retailers - other,10.0,51.540076,82181,501,Barking and Dagenham,0.156728,3
1,1030088,Restaurant/Cafe/Canteen,5.0,51.53498459,70106,501,Barking and Dagenham,0.110776998,4
4613,1413686,Retailers - other,5.0,51.5347185,77594,501,Barking and Dagenham,0.1106463,5
7844,122900,Takeaway/sandwich shop,5.0,51.55093,5136,501,Barking and Dagenham,0.128666,5
4613,1829073,Retailers - other,5.0,51.5354242,82992,501,Barking and Dagenham,0.0730526,4
4613,128473,Retailers - other,10.0,51.541715,58458,501,Barking and Dagenham,0.084452,3
4613,1130799,Retailers - other,15.0,51.534083,74349,501,Barking and Dagenham,0.085834,2
4613,1243151,Retailers - other,10.0,51.56129837,74864,501,Barking and Dagenham,0.147397995,3
1,115428,Restaurant/Cafe/Canteen,0.0,51.570095,44626,501,Barking and Dagenham,0.1306,4
4613,1040738,Retailers - other,10.0,51.5201804,71064,501,Barking and Dagenham,0.0995658,1
1,1502259,Restaurant/Cafe/Canteen,5.0,51.567947,78486,501,Barking and Dagenham,0.1425003,4
4613,913331,Retailers - other,5.0,51.56384,69250,501,Barking and Dagenham,0.146641,5
4613,714701,Retailers - other,5.0,51.535789,64494,501,Barking and Dagenham,0.094059,5
7844,1629605,Takeaway/sandwich shop,5.0,51.5428773,80215,501,Barking and Dagenham,0.1701691,5
4613,1210199,Retailers - other,5.0,51.551418,75202,501,Barking and Dagenham,0.110629,5
4613,1844399,Retailers - other,10.0,51.5431561,83171,501,Barking and Dagenham,0.1481738,3
4613,504627,Retailers - other,5.0,51.571543,58688,501,Barking and Dagenham,0.133554,5
4613,1269283,Retailers - other,10.0,51.541528,76052,501,Barking and Dagenham,0.1481982,3
4613,1181226,Retailers - other,10.0,51.545834,74985,501,Barking and Dagenham,0.094549,1
4613,1278673,Retailers - other,0.0,51.5311682,76345,501,Barking and Dagenham,0.1220024,5
7840,111961,Retailers - supermarkets/hypermarkets,0.0,51.530616,41254,501,Barking and Dagenham,0.145424,5
7844,1485738,Takeaway/sandwich shop,5.0,51.554493,78371,501,Barking and Dagenham,0.142421,5
7844,1844389,Takeaway/sandwich shop,5.0,51.5272781,83155,501,Barking and Dagenham,0.1628274,5
7844,1624265,Takeaway/sandwich shop,5.0,51.5458135,80062,501,Barking and Dagenham,0.1650587,5
7844,127963,Takeaway/sandwich shop,10.0,51.539889,57633,501,Barking and Dagenham,0.158103,3
1,1700560,Restaurant/Cafe/Canteen,5.0,51.5239554,81154,501,Barking and Dagenham,0.0985438,5
