MSOA21CD,MSOA21NM,IMD_Score_PopWeighted,Population_Total,LSOA_Count
E02000001,City of London 001,10.2098,11457,6
E02000002,Barking and Dagenham 001,30.8332,8386,4
E02000003,Barking and Dagenham 002,24.9398,11812,6
E02000004,Barking and Dagenham 003,20.1416,6873,4
E02000005,Barking and Dagenham 004,25.8117,11032,6
E02000007,Barking and Dagenham 006,35.5027,10161,5
E02000008,Barking and Dagenham 007,31.053,13275,7
E02000009,Barking and Dagenham 008,30.5831,12848,7
E02000010,Barking and Dagenham 009,29.3068,9451,5
E02000011,Barking and Dagenham 010,26.5472,7048,4
E02000012,Barking and Dagenham 011,21.0575,11672,5
E02000013,Barking and Dagenham 012,28.8974,9446,5
E02000014,Barking and Dagenham 013,31.5526,9820,6
E02000015,Barking and Dagenham 014,36.9014,8193,4
E02000016,Barking and Dagenham 015,37.248,10673,5
E02000017,Barking and Dagenham 016,31.2012,9148,5
E02000018,Barking and Dagenham 017,33.0133,9446,5
E02000019,Barking and Dagenham 018,31.8738,9623,5
E02000020,Barking and Dagenham 019,29.9086,14197,8
E02000021,Barking and Dagenham 020,30.3704,8826,5
E02000022,Barking and Dagenham 021,35.4997,7926,4
E02000023,Barking and Dagenham 022,33.9814,8136,4
E02000024,Barnet 001,10.1479,10861,6
E02000025,Barnet 002,18.4963,8507,5
E02000026,Barnet 003,11.7596,6337,4
E02000027,Barnet 004,20.3226,9505,6
E02000028,Barnet 005,16.4816,6391,4
E02000029,Barnet 006,20.4312,9493,5
E02000030,Barnet 007,12.104,9482,6
E02000031,Barnet 008,10.4642,8436,5
E02000032,Barnet 009,7.6668,7802,5
E02000033,Barnet 010,17.4588,8846,5
E02000034,Barnet 011,14.9153,9070,5
E02000035,Barnet 012,13.1804,8665,5
E02000036,Barnet 013,22.6968,11137,6
E02000037,Barnet 014,16.8447,10927,6
E02000038,Barnet 015,17.715,10688,6
E02000039,Barnet 016,13.6935,7232,4
E02000040,Barnet 017,14.5973,9664,5
E02000041,Barnet 018,26.342,9518,5
E02000042,Barnet 019,18.485,11524,6
