MSOA21CD,MSOA21NM,restaurant_count,low_rating_count,low_rating_pct,restaurant_cafe_canteen_pct,retailers___other_pct,takeaway_sandwich_shop_pct,pub_bar_nightclub_pct,other_catering_premises_pct,retailers___supermarkets_hypermarkets_pct,hotel_bed_and_breakfast_guest_house_pct
E02000001,City of London 001,1468,46,3.13,53.75,5.38,22.0,12.53,3.2,2.04,1.09
E02000002,Barking and Dagenham 001,15,0,0.0,26.67,33.33,13.33,6.67,13.33,6.67,0.0
E02000003,Barking and Dagenham 002,68,5,7.35,30.88,36.76,25.0,1.47,1.47,4.41,0.0
E02000004,Barking and Dagenham 003,17,0,0.0,29.41,35.29,23.53,5.88,0.0,5.88,0.0
E02000005,Barking and Dagenham 004,39,0,0.0,17.95,43.59,25.64,5.13,2.56,5.13,0.0
E02000007,Barking and Dagenham 006,30,0,0.0,13.33,43.33,26.67,3.33,6.67,6.67,0.0
E02000008,Barking and Dagenham 007,25,0,0.0,12.0,36.0,40.0,4.0,4.0,4.0,0.0
E02000009,Barking and Dagenham 008,34,5,14.71,14.71,50.0,29.41,0.0,2.94,2.94,0.0
E02000010,Barking and Dagenham 009,9,1,11.11,44.44,11.11,22.22,0.0,11.11,11.11,0.0
E02000011,Barking and Dagenham 010,51,0,0.0,19.61,37.25,31.37,1.96,5.88,1.96,1.96
E02000012,Barking and Dagenham 011,24,6,25.0,33.33,37.5,20.83,4.17,0.0,4.17,0.0
E02000013,Barking and Dagenham 012,18,1,5.56,22.22,38.89,27.78,0.0,0.0,11.11,0.0
E02000014,Barking and Dagenham 013,56,3,5.36,8.93,50.0,28.57,1.79,1.79,8.93,0.0
E02000015,Barking and Dagenham 014,39,0,0.0,12.82,58.97,23.08,5.13,0.0,0.0,0.0
E02000016,Barking and Dagenham 015,120,19,15.83,31.67,43.33,16.67,1.67,2.5,3.33,0.83
E02000017,Barking and Dagenham 016,43,8,18.6,37.21,34.88,23.26,2.33,2.33,0.0,0.0
E02000018,Barking and Dagenham 017,29,5,17.24,20.69,37.93,24.14,6.9,3.45,6.9,0.0
E02000019,Barking and Dagenham 018,22,1,4.55,27.27,36.36,13.64,9.09,0.0,9.09,4.55
E02000020,Barking and Dagenham 019,60,11,18.33,26.67,38.33,16.67,3.33,8.33,6.67,0.0
E02000021,Barking and Dagenham 020,41,2,4.88,34.15,36.59,26.83,2.44,0.0,0.0,0.0
E02000022,Barking and Dagenham 021,14,0,0.0,42.86,21.43,7.14,0.0,0.0,14.29,14.29
E02000023,Barking and Dagenham 022,24,3,12.5,12.5,41.67,29.17,4.17,4.17,8.33,0.0
E02000024,Barnet 001,88,3,3.41,42.05,17.05,14.77,7.95,13.64,4.55,0.0
E02000025,Barnet 002,18,1,5.56,33.33,27.78,27.78,5.56,0.0,0.0,5.56
E02000026,Barnet 003,3,0,0.0,33.33,33.33,0.0,33.33,0.0,0.0,0.0
E02000027,Barnet 004,12,0,0.0,16.67,33.33,16.67,16.67,16.67,0.0,0.0
E02000028,Barnet 005,30,1,3.33,23.33,16.67,33.33,10.0,13.33,3.33,0.0
E02000029,Barnet 006,61,6,9.84,31.15,26.23,18.03,9.84,8.2,6.56,0.0
E02000030,Barnet 007,17,0,0.0,11.76,11.76,5.88,64.71,5.88,0.0,0.0
E02000031,Barnet 008,52,3,5.77,46.15,21.15,11.54,5.77,9.62,3.85,1.92
E02000032,Barnet 009,21,2,9.52,42.86,9.52,23.81,14.29,4.76,4.76,0.0
E02000033,Barnet 010,20,2,10.0,30.0,40.0,10.0,10.0,10.0,0.0,0.0
E02000034,Barnet 011,18,0,0.0,44.44,22.22,22.22,5.56,0.0,5.56,0.0
E02000035,Barnet 012,23,0,0.0,47.83,17.39,8.7,13.04,8.7,0.0,4.35
E02000036,Barnet 013,26,2,7.69,19.23,30.77,26.92,7.69,7.69,3.85,3.85
E02000037,Barnet 014,11,0,0.0,9.09,45.45,27.27,0.0,9.09,9.09,0.0
E02000038,Barnet 015,44,4,9.09,25.0,25.0,34.09,4.55,4.55,6.82,0.0
E02000039,Barnet 016,51,2,3.92,39.22,25.49,11.76,3.92,13.73,5.88,0.0
E02000040,Barnet 017,21,0,0.0,19.05,23.81,14.29,19.05,14.29,9.52,0.0
