MSOA21CD,MSOA21NM,Asian,Black,Mixed_or_Multiple,Other,White,total_population,Asian_pct,Black_pct,Mixed_or_Multiple_pct,White_pct,Other_pct
E02000001,City of London 001,1445.0,232.0,470.0,482.0,5955.0,8584.0,16.83,2.7,5.48,69.37,5.62
E02000002,Barking and Dagenham 001,1843.0,1737.0,408.0,251.0,4043.0,8282.0,22.25,20.97,4.93,48.82,3.03
E02000003,Barking and Dagenham 002,4032.0,1800.0,484.0,530.0,4692.0,11538.0,34.95,15.6,4.19,40.67,4.59
E02000004,Barking and Dagenham 003,1053.0,946.0,246.0,222.0,4175.0,6642.0,15.85,14.24,3.7,62.86,3.34
E02000005,Barking and Dagenham 004,3333.0,1957.0,477.0,397.0,4917.0,11081.0,30.08,17.66,4.3,44.37,3.58
E02000007,Barking and Dagenham 006,1491.0,2654.0,426.0,409.0,5184.0,10164.0,14.67,26.11,4.19,51.0,4.02
E02000008,Barking and Dagenham 007,2485.0,2560.0,544.0,426.0,7239.0,13254.0,18.75,19.31,4.1,54.62,3.21
E02000009,Barking and Dagenham 008,3105.0,2941.0,618.0,532.0,5668.0,12864.0,24.14,22.86,4.8,44.06,4.14
E02000010,Barking and Dagenham 009,1491.0,1886.0,379.0,298.0,5432.0,9486.0,15.72,19.88,4.0,57.26,3.14
E02000011,Barking and Dagenham 010,1530.0,1402.0,234.0,233.0,3630.0,7029.0,21.77,19.95,3.33,51.64,3.31
E02000012,Barking and Dagenham 011,6763.0,1030.0,360.0,380.0,2977.0,11510.0,58.76,8.95,3.13,25.86,3.3
E02000013,Barking and Dagenham 012,1577.0,1933.0,410.0,187.0,5292.0,9399.0,16.78,20.57,4.36,56.3,1.99
E02000014,Barking and Dagenham 013,1519.0,1868.0,311.0,219.0,5947.0,9864.0,15.4,18.94,3.15,60.29,2.22
E02000015,Barking and Dagenham 014,1128.0,2527.0,401.0,214.0,3958.0,8228.0,13.71,30.71,4.87,48.1,2.6
