MSOA21CD,MSOA21NM,age_0_4,age_5_14,age_15_19,age_20_24,age_25_44,age_45_64,age_65plus,total_population,age_0_4_pct,age_5_14_pct,age_15_19_pct,age_20_24_pct,age_25_44_pct,age_45_64_pct,age_65plus_pct
E02000001,City of London 001,214.0,334.0,217.0,965.0,3484.0,2161.0,1204.0,8579.0,2.49,3.89,2.53,11.25,40.61,25.19,14.03
E02000002,Barking and Dagenham 001,654.0,1521.0,617.0,410.0,2425.0,1730.0,924.0,8281.0,7.9,18.37,7.45,4.95,29.28,20.89,11.16
E02000003,Barking and Dagenham 002,951.0,1606.0,714.0,738.0,3659.0,2604.0,1276.0,11548.0,8.24,13.91,6.18,6.39,31.69,22.55,11.05
E02000004,Barking and Dagenham 003,394.0,847.0,392.0,423.0,1919.0,1666.0,1000.0,6641.0,5.93,12.75,5.9,6.37,28.9,25.09,15.06
E02000005,Barking and Dagenham 004,976.0,1958.0,734.0,621.0,3504.0,2407.0,886.0,11086.0,8.8,17.66,6.62,5.6,31.61,21.71,7.99
E02000007,Barking and Dagenham 006,749.0,1776.0,697.0,631.0,3072.0,2260.0,978.0,10163.0,7.37,17.48,6.86,6.21,30.23,22.24,9.62
E02000008,Barking and Dagenham 007,896.0,2307.0,886.0,720.0,3908.0,3319.0,1208.0,13244.0,6.77,17.42,6.69,5.44,29.51,25.06,9.12
E02000009,Barking and Dagenham 008,1026.0,2269.0,967.0,850.0,4028.0,2818.0,907.0,12865.0,7.98,17.64,7.52,6.61,31.31,21.9,7.05
E02000010,Barking and Dagenham 009,684.0,1554.0,665.0,580.0,2856.0,2305.0,838.0,9482.0,7.21,16.39,7.01,6.12,30.12,24.31,8.84
E02000011,Barking and Dagenham 010,510.0,1021.0,467.0,450.0,2062.0,1630.0,891.0,7031.0,7.25,14.52,6.64,6.4,29.33,23.18,12.67
E02000012,Barking and Dagenham 011,745.0,1754.0,864.0,925.0,3457.0,2577.0,1190.0,11512.0,6.47,15.24,7.51,8.04,30.03,22.39,10.34
E02000013,Barking and Dagenham 012,698.0,1575.0,662.0,532.0,2835.0,2175.0,913.0,9390.0,7.43,16.77,7.05,5.67,30.19,23.16,9.72
E02000014,Barking and Dagenham 013,673.0,1624.0,667.0,571.0,2931.0,2362.0,1034.0,9862.0,6.82,16.47,6.76,5.79,29.72,23.95,10.48
E02000015,Barking and Dagenham 014,680.0,1396.0,535.0,464.0,2509.0,1915.0,726.0,8225.0,8.27,16.97,6.5,5.64,30.5,23.28,8.83
E02000016,Barking and Dagenham 015,1019.0,1816.0,658.0,621.0,4178.0,1916.0,360.0,10568.0,9.64,17.18,6.23,5.88,39.53,18.13,3.41
E02000017,Barking and Dagenham 016,664.0,1215.0,622.0,641.0,3130.0,2098.0,762.0,9132.0,7.27,13.3,6.81,7.02,34.28,22.97,8.34
E02000018,Barking and Dagenham 017,761.0,1644.0,650.0,582.0,3021.0,2107.0,785.0,9550.0,7.97,17.21,6.81,6.09,31.63,22.06,8.22
E02000019,Barking and Dagenham 018,828.0,1664.0,665.0,565.0,2923.0,2175.0,844.0,9664.0,8.57,17.22,6.88,5.85,30.25,22.51,8.73
E02000020,Barking and Dagenham 019,1291.0,2286.0,986.0,753.0,4888.0,2897.0,957.0,14058.0,9.18,16.26,7.01,5.36,34.77,20.61,6.81
E02000021,Barking and Dagenham 020,628.0,1610.0,604.0,541.0,2427.0,2089.0,866.0,8765.0,7.16,18.37,6.89,6.17,27.69,23.83,9.88
E02000022,Barking and Dagenham 021,837.0,1374.0,570.0,413.0,2949.0,1318.0,280.0,7741.0,10.81,17.75,7.36,5.34,38.1,17.03,3.62
E02000023,Barking and Dagenham 022,671.0,1597.0,648.0,486.0,2590.0,1635.0,395.0,8022.0,8.36,19.91,8.08,6.06,32.29,20.38,4.92
E02000024,Barnet 001,564.0,1218.0,547.0,532.0,2749.0,3050.0,2191.0,10851.0,5.2,11.22,5.04,4.9,25.33,28.11,20.19
E02000025,Barnet 002,498.0,1014.0,420.0,395.0,2478.0,2431.0,1352.0,8588.0,5.8,11.81,4.89,4.6,28.85,28.31,15.74
E02000026,Barnet 003,410.0,768.0,326.0,301.0,1679.0,1743.0,1239.0,6466.0,6.34,11.88,5.04,4.66,25.97,26.96,19.16
E02000027,Barnet 004,535.0,1252.0,602.0,546.0,2583.0,2589.0,1538.0,9645.0,5.55,12.98,6.24,5.66,26.78,26.84,15.95
E02000028,Barnet 005,380.0,785.0,337.0,306.0,1901.0,1753.0,1079.0,6541.0,5.81,12.0,5.15,4.68,29.06,26.8,16.5
E02000029,Barnet 006,746.0,1331.0,602.0,551.0,2777.0,2496.0,1171.0,9674.0,7.71,13.76,6.22,5.7,28.71,25.8,12.1
E02000030,Barnet 007,432.0,1188.0,569.0,447.0,2099.0,2707.0,2015.0,9457.0,4.57,12.56,6.02,4.73,22.2,28.62,21.31
E02000031,Barnet 008,496.0,942.0,386.0,329.0,2500.0,2082.0,1598.0,8333.0,5.95,11.3,4.63,3.95,30.0,24.98,19.18
