MSOA21CD,MSOA21NM,restaurant_count,low_rating_count,low_rating_pct,IMD,restaurant_cafe_canteen,retailers___other,takeaway_sandwich_shop,pub_bar_nightclub,other_catering_premises,supermarkets_hypermarkets,hotel_bed_and_breakfast_guest_house,0-4,4_15,15-19,20-24,25-44,45-64,65plus,Asian,Black,Mixed_or_Multiple,White,Other,Population_density
E02000001,City of London 001,1468,46,3.13,10.2098,53.75,5.38,22.0,12.53,3.2,2.04,1.09,2.49,3.89,2.53,11.25,40.61,25.19,14.03,16.83,2.7,5.48,69.37,5.62,2975.0
E02000002,Barking and Dagenham 001,15,0,0.0,30.8332,26.67,33.33,13.33,6.67,13.33,6.67,0.0,7.9,18.37,7.45,4.95,29.28,20.89,11.16,22.25,20.97,4.93,48.82,3.03,3831.0
E02000003,Barking and Dagenham 002,68,5,7.35,24.9398,30.88,36.76,25.0,1.47,1.47,4.41,0.0,8.24,13.91,6.18,6.39,31.69,22.55,11.05,34.95,15.6,4.19,40.67,4.59,5389.7
E02000004,Barking and Dagenham 003,17,0,0.0,20.1416,29.41,35.29,23.53,5.88,0.0,5.88,0.0,5.93,12.75,5.9,6.37,28.9,25.09,15.06,15.85,14.24,3.7,62.86,3.34,2663.6
E02000005,Barking and Dagenham 004,39,0,0.0,25.8117,17.95,43.59,25.64,5.13,2.56,5.13,0.0,8.8,17.66,6.62,5.6,31.61,21.71,7.99,30.08,17.66,4.3,44.37,3.58,9327.5
E02000007,Barking and Dagenham 006,30,0,0.0,35.5027,13.33,43.33,26.67,3.33,6.67,6.67,0.0,7.37,17.48,6.86,6.21,30.23,22.24,9.62,14.67,26.11,4.19,51.0,4.02,5854.4
E02000008,Barking and Dagenham 007,25,0,0.0,31.053,12.0,36.0,40.0,4.0,4.0,4.0,0.0,6.77,17.42,6.69,5.44,29.51,25.06,9.12,18.75,19.31,4.1,54.62,3.21,9331.6
E02000009,Barking and Dagenham 008,34,5,14.71,30.5831,14.71,50.0,29.41,0.0,2.94,2.94,0.0,7.98,17.64,7.52,6.61,31.31,21.9,7.05,24.14,22.86,4.8,44.06,4.14,13380.5
E02000010,Barking and Dagenham 009,9,1,11.11,29.3068,44.44,11.11,22.22,0.0,11.11,11.11,0.0,7.21,16.39,7.01,6.12,30.12,24.31,8.84,15.72,19.88,4.0,57.26,3.14,8458.9
E02000011,Barking and Dagenham 010,51,0,0.0,26.5472,19.61,37.25,31.37,1.96,5.88,1.96,1.96,7.25,14.52,6.64,6.4,29.33,23.18,12.67,21.77,19.95,3.33,51.64,3.31,4410.6
E02000012,Barking and Dagenham 011,24,6,25.0,21.0575,33.33,37.5,20.83,4.17,0.0,4.17,0.0,6.47,15.24,7.51,8.04,30.03,22.39,10.34,58.76,8.95,3.13,25.86,3.3,8852.6
E02000013,Barking and Dagenham 012,18,1,5.56,28.8974,22.22,38.89,27.78,0.0,0.0,11.11,0.0,7.43,16.77,7.05,5.67,30.19,23.16,9.72,16.78,20.57,4.36,56.3,1.99,7203.7
E02000014,Barking and Dagenham 013,56,3,5.36,31.5526,8.93,50.0,28.57,1.79,1.79,8.93,0.0,6.82,16.47,6.76,5.79,29.72,23.95,10.48,15.4,18.94,3.15,60.29,2.22,8269.8
E02000015,Barking and Dagenham 014,39,0,0.0,36.9014,12.82,58.97,23.08,5.13,0.0,0.0,0.0,8.27,16.97,6.5,5.64,30.5,23.28,8.83,13.71,30.71,4.87,48.1,2.6,6042.0
E02000016,Barking and Dagenham 015,120,19,15.83,37.248,31.67,43.33,16.67,1.67,2.5,3.33,0.83,9.64,17.18,6.23,5.88,39.53,18.13,3.41,36.57,26.65,5.05,27.43,4.3,11925.1
E02000017,Barking and Dagenham 016,43,8,18.6,31.2012,37.21,34.88,23.26,2.33,2.33,0.0,0.0,7.27,13.3,6.81,7.02,34.28,22.97,8.34,48.41,11.86,3.59,31.75,4.39,10419.9
E02000018,Barking and Dagenham 017,29,5,17.24,33.0133,20.69,37.93,24.14,6.9,3.45,6.9,0.0,7.97,17.21,6.81,6.09,31.63,22.06,8.22,20.18,20.54,4.09,52.13,3.06,7034.9
E02000019,Barking and Dagenham 018,22,1,4.55,31.8738,27.27,36.36,13.64,9.09,0.0,9.09,4.55,8.57,17.22,6.88,5.85,30.25,22.51,8.73,17.8,22.78,4.59,52.14,2.69,3187.3
E02000020,Barking and Dagenham 019,60,11,18.33,29.9086,26.67,38.33,16.67,3.33,8.33,6.67,0.0,9.18,16.26,7.01,5.36,34.77,20.61,6.81,31.05,24.52,4.43,35.68,4.32,4116.3
E02000021,Barking and Dagenham 020,41,2,4.88,30.3704,34.15,36.59,26.83,2.44,0.0,0.0,0.0,7.16,18.37,6.89,6.17,27.69,23.83,9.88,18.41,28.34,4.36,45.45,3.45,3043.2
E02000022,Barking and Dagenham 021,14,0,0.0,35.4997,42.86,21.43,7.14,0.0,0.0,14.29,14.29,10.81,17.75,7.36,5.34,38.1,17.03,3.62,25.98,33.81,5.31,30.18,4.72,10270.7
