Group,Variable,N,Mean,SD,Min,Q1,Median,Q3,Max
IMD,IMD Decile Mean (1=Most Deprived),1002,5.04,2.22,1.0,3.21,4.6,6.75,10.0
Ethnicity (%),Asian (%),1002,19.92,15.48,1.73,9.24,14.31,24.23,78.75
Ethnicity (%),Black (%),1002,13.24,9.65,0.96,5.86,10.54,18.6,49.83
Ethnicity (%),Mixed or Multiple (%),1002,5.77,1.7,1.52,4.5,5.88,7.05,10.26
Ethnicity (%),White (%),1002,54.81,17.52,3.98,42.46,56.31,68.99,93.38
Ethnicity (%),Other (%),1002,6.26,3.58,0.4,3.66,5.46,8.16,25.76
Population Density,Population Density (persons/km²),1002,8885.16,4949.93,302.3,5063.85,7982.5,12078.6,23873.4
Business Type (%),Restaurant / Café / Canteen (%),1002,37.07,14.3,0.0,27.27,37.04,46.67,100.0
Business Type (%),Other Retailers (%),1002,28.32,12.43,0.0,20.0,26.98,35.29,100.0
Business Type (%),Takeaway & Sandwich Shops (%),1002,16.1,9.88,0.0,8.77,15.15,22.22,57.14
Business Type (%),"Pubs, Bars & Nightclubs (%)",1002,7.06,6.93,0.0,2.38,5.78,10.0,83.33
Business Type (%),Other Catering Premises (%),1002,5.43,6.67,0.0,0.0,3.68,7.98,50.0
Business Type (%),Supermarkets & Hypermarkets (%),1002,4.75,5.6,0.0,0.0,3.57,6.22,42.86
Business Type (%),Hotels & Guesthouses (%),1002,1.26,3.11,0.0,0.0,0.0,1.32,33.33
Outcome Variable,Low-Rated Outlet Count per MSOA,1002,3.39,5.85,0.0,0.0,2.0,4.0,89.0
Outcome Variable,"Low-Rated Outlets (%, Score 0–2)",1002,6.17,6.54,0.0,0.0,4.8,9.52,37.5
Outcome Variable,Total Outlet Count per MSOA,1002,52.57,82.4,2.0,20.0,35.0,61.0,1468.0
