FHRSID,BusinessName,BusinessType,RatingValue,RatingDate,PostCode,MSOA21NM
756776,Selina Quality Food Market,Retailers - other,1,2024/11/6,EN4 8SS,Barnet 006
1914221,East Barnet Express,Retailers - other,2,2026/1/21,EN4 8SY,Barnet 006
1901012,Heva Store,Retailers - other,2,2025/12/1,EN4 8RN,Barnet 006
1628139,Mah Cafe,Restaurant/Cafe/Canteen,2,2025/3/25,EN4 8RD,Barnet 006
1805736,Simply Organic,Retailers - other,2,2025/4/29,EN4 8SX,Barnet 006
757638,Sukaria,Takeaway/sandwich shop,2,2025/1/16,EN4 8TB,Barnet 006
1901010,EATT WHETSTONE LTD,Restaurant/Cafe/Canteen,1,2025/12/9,N20 9LN,Barnet 008
1548998,Little Tea House,Restaurant/Cafe/Canteen,1,2026/1/8,N20 0RA,Barnet 008
1516737,Ariana Express Food And Wine,Retailers - other,2,2025/11/4,N20 9LN,Barnet 008
1904428,Skewd Asia,Restaurant/Cafe/Canteen,1,2025/12/11,EN4 0DA,Enfield 011
1742414,Cockfosters News & Wine,Retailers - other,2,2024/7/11,EN4 0DB,Enfield 011
894051,Fios Food Centre,Retailers - other,2,2025/1/17,EN4 0BX,Enfield 011
