BusinessTypeID,FHRSID,BusinessType,Hygiene,Latitude,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityName,Longitude,RatingValue,MSOA21CD,MSOA21NM
1,1655770,Restaurant/Cafe/Canteen,10.0,51.57219696,80603,501,Barking and Dagenham,0.143009007,2,E02000003,Barking and Dagenham 002
4613,1130799,Retailers - other,15.0,51.534083,74349,501,Barking and Dagenham,0.085834,2,E02000020,Barking and Dagenham 019
4613,1040738,Retailers - other,10.0,51.5201804,71064,501,Barking and Dagenham,0.0995658,1,E02000020,Barking and Dagenham 019
4613,1181226,Retailers - other,10.0,51.545834,74985,501,Barking and Dagenham,0.094549,1,E02000012,Barking and Dagenham 011
1,843220,Restaurant/Cafe/Canteen,15.0,51.541353,11996,501,Barking and Dagenham,0.084551,2,E02000017,Barking and Dagenham 016
4613,1670537,Retailers - other,10.0,51.551427,80755,501,Barking and Dagenham,0.130016,2,E02000009,Barking and Dagenham 008
7844,1098485,Takeaway/sandwich shop,5.0,51.534985,73521,501,Barking and Dagenham,0.110777,2,E02000018,Barking and Dagenham 017
7844,877083,Takeaway/sandwich shop,10.0,51.528837,69311,501,Barking and Dagenham,0.104121,1,E02000023,Barking and Dagenham 022
4613,128717,Retailers - other,5.0,51.529051,58937,501,Barking and Dagenham,0.09819,1,E02000020,Barking and Dagenham 019
4613,1090482,Retailers - other,15.0,51.532068,73164,501,Barking and Dagenham,0.146155,0,E02000021,Barking and Dagenham 020
4613,1291305,Retailers - other,10.0,51.536781,76581,501,Barking and Dagenham,0.077709,1,E02000016,Barking and Dagenham 015
7840,1398899,Retailers - supermarkets/hypermarkets,10.0,51.5254231,77623,501,Barking and Dagenham,0.1024605,1,E02000020,Barking and Dagenham 019
4613,1407643,Retailers - other,10.0,51.538158,77692,501,Barking and Dagenham,0.0802053,2,E02000016,Barking and Dagenham 015
7843,1687067,Pub/bar/nightclub,0.0,51.542225,80968,501,Barking and Dagenham,0.085096,1,E02000017,Barking and Dagenham 016
7843,415538,Pub/bar/nightclub,5.0,51.53492,3612,501,Barking and Dagenham,0.127357,1,E02000019,Barking and Dagenham 018
4613,1844377,Retailers - other,10.0,51.537933,83142,501,Barking and Dagenham,0.0792,1,E02000016,Barking and Dagenham 015
4613,1888487,Retailers - other,15.0,51.5376673,83799,501,Barking and Dagenham,0.0794763,1,E02000016,Barking and Dagenham 015
4613,1670535,Retailers - other,5.0,51.5372721,80753,501,Barking and Dagenham,0.0809724,1,E02000016,Barking and Dagenham 015
