MSOA21CD,MSOA21NM,low_rating_pct,restaurant_count,Gi_z,Gi_p,Gi_class
E02000001,City of London 001,3.13,1468,0.03703957792478788,0.347,Not Significant
E02000002,Barking and Dagenham 001,0.0,15,-0.28719238913053186,0.398,Not Significant
E02000003,Barking and Dagenham 002,7.35,68,-0.3510409010661391,0.116,Not Significant
E02000004,Barking and Dagenham 003,0.0,17,-0.7444089591899652,0.034,Cold Spot
E02000005,Barking and Dagenham 004,0.0,39,-0.5074187348079715,0.202,Not Significant
E02000007,Barking and Dagenham 006,0.0,30,-0.6394525012136245,0.062,Not Significant
E02000008,Barking and Dagenham 007,0.0,25,-0.10701713627114749,0.401,Not Significant
E02000009,Barking and Dagenham 008,14.71,34,0.6530425469075176,0.088,Not Significant
E02000010,Barking and Dagenham 009,11.11,9,-0.4632131155283529,0.033,Cold Spot
E02000011,Barking and Dagenham 010,0.0,51,-0.6615006460315712,0.07,Not Significant
E02000012,Barking and Dagenham 011,25.0,24,1.3615259706587464,0.006,Hot Spot
E02000013,Barking and Dagenham 012,5.56,18,0.6532338737840369,0.036,Hot Spot
E02000014,Barking and Dagenham 013,5.36,56,-0.14236705440901237,0.428,Not Significant
E02000015,Barking and Dagenham 014,0.0,39,-0.39717801071823866,0.275,Not Significant
E02000016,Barking and Dagenham 015,15.83,120,1.5775340142491154,0.001,Hot Spot
E02000017,Barking and Dagenham 016,18.6,43,1.7755955968219685,0.003,Hot Spot
E02000018,Barking and Dagenham 017,17.24,29,1.1770230860685669,0.021,Hot Spot
E02000019,Barking and Dagenham 018,4.55,22,0.5511473189554872,0.061,Not Significant
E02000020,Barking and Dagenham 019,18.33,60,1.1988981256172815,0.006,Hot Spot
E02000021,Barking and Dagenham 020,4.88,41,-0.37889809428735943,0.23,Not Significant
E02000022,Barking and Dagenham 021,0.0,14,0.3622256945980742,0.09,Not Significant
E02000023,Barking and Dagenham 022,12.5,24,1.0686045227075902,0.046,Hot Spot
E02000024,Barnet 001,3.41,88,-0.5221636594250642,0.136,Not Significant
E02000025,Barnet 002,5.56,18,-0.35497676824025176,0.197,Not Significant
E02000026,Barnet 003,0.0,3,-0.023489288464976804,0.307,Not Significant
E02000027,Barnet 004,0.0,12,-0.568388232792144,0.189,Not Significant
E02000028,Barnet 005,3.33,30,-0.31991839581898834,0.301,Not Significant
E02000029,Barnet 006,9.84,61,0.017618657575756615,0.482,Not Significant
E02000030,Barnet 007,0.0,17,-0.6092973976624676,0.02,Cold Spot
E02000031,Barnet 008,5.77,52,-0.31211954789991275,0.229,Not Significant
